Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-September-2020,923.80,923.80,912.20,917.65,916.003127309944845624,87935,3893,80548735.00,33902,38.55,11.60,-6.15
10-September-2020,918.00,923.00,912.25,920.65,917.583195029707001968,162083,8945,148724637.00,57552,35.51,10.75,2.65
9-September-2020,913.70,927.80,901.60,909.55,913.145081253077768097,158394,8268,144636702.00,58185,36.73,26.20,-4.15
8-September-2020,933.00,940.00,911.90,916.25,923.792181182384438859,219624,14049,202886934.00,111284,50.67,28.10,-16.75
7-September-2020,945.20,950.25,916.10,932.20,931.747733876269856418,235755,14109,219664187.00,75723,32.12,34.15,-13.00
4-September-2020,945.00,956.05,940.10,942.90,947.922301294692617679,116630,6641,110556178.00,56547,48.48,15.95,-2.10
3-September-2020,958.50,970.85,954.10,961.05,960.934865172806684390,163246,8823,156868773.00,50181,30.74,16.75,2.55
2-September-2020,959.35,959.85,948.00,955.75,953.176744503968762549,117039,7636,111558853.00,39289,33.57,11.85,-3.60
1-September-2020,955.25,965.95,944.10,955.30,955.939521274255291063,227270,13861,217256375.00,68118,29.97,21.85,0.05
31-August-2020,986.00,995.00,941.20,945.30,962.513829476785981195,280994,13975,270460611.00,118417,42.14,53.80,-40.70
28-August-2020,989.00,1004.40,978.60,981.80,991.938071762660346141,237533,10045,235618026.00,64450,27.13,25.80,-7.20
27-August-2020,973.15,979.85,965.60,975.45,973.192005443717143493,166063,7324,161611184.00,49060,29.54,14.25,2.30
26-August-2020,984.00,987.00,965.20,968.95,971.145120377861844263,182924,12697,177645750.00,94337,51.57,21.80,-15.05
25-August-2020,992.50,999.00,978.10,980.60,988.513599958394008737,153824,9532,152057116.00,69591,45.24,20.90,-11.90
24-August-2020,996.00,1000.00,990.25,991.85,995.622103992593721069,85333,3635,84959421.00,36932,43.28,9.75,-4.15
21-August-2020,1003.00,1008.00,991.75,994.05,998.716702535791148123,160305,8715,160099281.00,62600,39.05,16.25,-8.95
20-August-2020,995.95,1004.80,982.30,995.85,996.530143674524248822,150131,6661,149610067.00,44072,29.36,22.50,-0.10
19-August-2020,1016.05,1024.95,1005.20,1009.00,1015.041647450305029335,171295,7690,173871559.00,45421,26.52,19.75,-7.05
18-August-2020,1001.25,1008.00,995.20,1004.10,1001.448106213314929585,146347,5618,146558926.00,36217,24.75,12.80,2.85
17-August-2020,1002.30,1007.00,988.10,1000.70,999.505109120726630503,190248,7385,190153848.00,44249,23.26,18.90,-1.60
14-August-2020,997.00,1017.40,974.20,982.15,999.461826893031975835,537656,20326,537366648.00,104406,19.42,43.20,-14.85
13-August-2020,953.35,993.40,951.75,990.55,977.601020619228556937,352923,12774,345017885.00,128753,36.48,41.65,37.20
12-August-2020,960.60,960.60,945.00,949.65,950.530826954259210377,106076,4954,100828508.00,44948,42.37,15.60,-10.95
11-August-2020,967.25,979.35,957.85,961.65,966.627565217957992010,153447,7596,148326100.00,49571,32.30,21.50,-5.60
10-August-2020,926.00,970.00,925.00,959.70,956.459768369296524454,737467,38973,705357516.00,393193,53.32,45.00,33.70
7-August-2020,922.50,926.50,914.10,915.70,918.253957405356146842,127293,6301,116887301.00,41688,32.75,12.40,-6.80
6-August-2020,927.15,933.00,920.60,921.95,927.503834765302655210,123606,7437,114645039.00,57651,46.64,12.40,-5.20
5-August-2020,923.85,934.30,921.10,926.00,928.758633169114385112,85658,4430,79555607.00,27212,31.77,13.20,2.15
4-August-2020,917.00,930.20,916.35,923.80,924.658871823255384899,130086,5350,120285174.00,33400,25.68,13.85,6.80
3-August-2020,913.00,919.70,903.40,915.80,910.249387289292997324,106902,5154,97307480.00,29118,27.24,16.30,2.80
31-July-2020,911.10,922.60,907.00,913.35,913.609797604874290916,142790,8905,130454343.00,51941,36.38,15.60,2.25
30-July-2020,927.10,931.90,904.30,908.70,916.791392215973977473,184763,10627,169389128.00,72660,39.33,27.60,-18.40
29-July-2020,918.00,940.20,918.00,922.35,930.246910618419504069,220918,11043,205508287.00,66139,29.94,22.20,4.35
28-July-2020,907.10,917.00,899.50,913.00,909.461340621713127528,130253,6253,118460068.00,46094,35.39,17.50,5.90
27-July-2020,905.15,914.70,896.50,903.55,905.270692148893342889,232999,12681,210927166.00,74795,32.10,18.20,-1.60
24-July-2020,916.00,916.00,898.30,904.55,904.294966335363898685,255758,11401,231280672.00,103310,40.39,17.70,-11.45
23-July-2020,910.25,937.80,910.25,916.35,923.360105919332259172,454308,21935,419489883.00,126466,27.84,27.55,6.10
22-July-2020,940.00,940.00,910.20,920.95,923.052360780321073395,220012,9821,203082596.00,71568,32.53,29.80,-19.05
21-July-2020,928.60,942.00,921.00,937.80,933.551171579743008314,171990,7670,160561466.00,46947,27.30,21.00,9.20
20-July-2020,932.90,932.90,915.60,919.35,922.546017156374700320,125551,6081,115826575.00,45569,36.30,17.30,-13.55
17-July-2020,924.00,930.00,918.75,925.50,925.341361241260527506,68511,3908,63396062.00,23371,34.11,11.25,1.50
16-July-2020,915.00,923.75,898.00,921.15,912.096470588235294117,119850,6117,109314762.00,32660,27.25,25.75,6.15
15-July-2020,915.55,925.00,909.20,911.95,916.335033310581517193,208042,11483,190636173.00,68681,33.01,15.80,-3.60
14-July-2020,926.10,934.50,906.50,913.00,917.051486657344531060,238858,14956,219045084.00,94221,39.45,28.00,-13.10
13-July-2020,937.20,944.40,925.25,928.60,935.368776934778162051,425333,10640,397843208.00,268791,63.20,19.15,-8.60
10-July-2020,941.00,952.00,930.95,932.20,938.442107991317631637,401273,8829,376571480.00,254807,63.50,21.05,-8.80
9-July-2020,945.00,952.50,940.20,944.75,944.731584175931848182,146966,5688,138843422.00,42701,29.06,12.30,-0.25
8-July-2020,946.70,963.80,937.55,941.05,949.033425972713491662,197900,9173,187813715.00,53470,27.02,26.25,-5.65
7-July-2020,955.00,961.80,940.00,943.40,947.771801170877180117,163638,7369,155091482.00,55659,34.01,21.80,-11.60
6-July-2020,950.00,959.20,946.30,951.05,952.889827053861522006,247765,11737,236092748.00,97182,39.22,12.90,1.05
3-July-2020,945.00,955.00,942.00,944.50,948.500198179737804467,133717,6644,126830601.00,39733,29.71,13.00,-0.50
2-July-2020,937.00,950.70,925.75,940.65,939.210557594461589790,383648,13615,360326252.00,101140,26.36,24.95,3.65
1-July-2020,945.00,945.00,917.85,924.25,923.855869628742685682,280614,17596,259246891.00,103951,37.04,27.15,-20.75
30-June-2020,945.00,952.00,931.45,944.05,943.418933934708306569,213289,10340,201220881.00,50728,23.78,20.55,-0.95
29-June-2020,953.70,955.50,930.15,937.00,938.772836374156342492,314553,15482,295293812.00,81968,26.06,25.35,-16.70
26-June-2020,953.55,976.00,940.75,962.50,957.885650051716916133,350949,17041,336169011.00,91845,26.17,35.25,8.95
25-June-2020,950.00,964.30,935.05,943.15,949.590693852580692563,333457,16764,316647664.00,61158,18.34,29.25,-6.85
24-June-2020,980.00,989.80,952.55,955.65,969.107884766234277562,660362,31411,639962021.00,174720,26.46,37.25,-24.35
23-June-2020,912.75,970.20,908.60,967.85,949.360660460492125539,531084,22860,504190257.00,157925,29.74,61.60,55.10
22-June-2020,909.00,915.80,896.10,907.25,906.926999735009085402,211328,10429,191659069.00,52123,24.66,19.70,-1.75
19-June-2020,904.20,915.45,895.30,897.65,903.064470907134580367,193312,9686,174573199.00,56416,29.18,20.15,-6.55
18-June-2020,878.00,900.00,874.40,896.60,887.300868571205252462,204704,10450,181634037.00,53066,25.92,25.60,18.60
17-June-2020,892.00,899.15,881.15,884.55,888.905364136516225289,171584,9444,152521938.00,52289,30.47,18.00,-7.45
16-June-2020,919.10,923.90,891.00,894.90,901.248493084495983571,165570,9525,149219713.00,52132,31.49,32.90,-24.20
15-June-2020,923.90,923.90,894.70,899.65,902.329604333905128900,283901,15619,256172277.00,103412,36.43,29.20,-24.25
12-June-2020,897.90,930.00,891.50,925.90,905.905058702620306512,376559,21520,341126703.00,126960,33.72,38.50,28.00
11-June-2020,948.00,952.00,928.00,930.10,938.121293286387588520,125819,7858,118033483.00,54892,43.63,24.00,-17.90
10-June-2020,953.00,958.45,936.15,946.75,943.657358387540952471,168488,9304,158994941.00,48736,28.93,22.30,-6.25
9-June-2020,968.00,970.15,950.00,953.00,961.718864021518216303,165813,8429,159465490.00,53836,32.47,20.15,-15.00
8-June-2020,976.00,995.00,949.20,961.25,967.057037614710397630,407766,19477,394332980.00,118842,29.14,45.80,-14.75
5-June-2020,937.50,964.90,937.50,955.30,951.479484438348427698,247885,10882,235857492.00,65471,26.41,27.40,17.80
4-June-2020,962.00,968.00,929.05,931.00,940.576936596302559328,210524,11359,198014019.00,91462,43.44,38.95,-31.00
3-June-2020,955.00,972.50,955.00,961.20,963.677677508084970674,200681,9994,193391800.00,68720,34.24,17.50,6.20
2-June-2020,930.00,952.50,913.35,945.40,935.248124574168016973,283269,12896,264926801.00,52826,18.65,39.15,15.40
1-June-2020,940.00,973.85,924.05,928.15,949.717705689830842866,370011,19321,351405998.00,117425,31.74,49.80,-11.85
29-May-2020,897.50,937.00,893.00,932.30,920.071588423143654605,318152,15476,292722616.00,104294,32.78,44.00,34.80
28-May-2020,858.00,911.15,855.10,903.05,892.103027280619124138,433128,21550,386394800.00,162469,37.51,56.05,45.05
27-May-2020,833.90,856.80,827.00,850.55,848.222583096443881183,792212,11349,671972109.00,115400,14.57,29.80,16.65
26-May-2020,820.00,843.00,820.00,825.80,833.722617418801769017,176143,10532,146854403.00,48871,27.74,23.00,5.80
22-May-2020,817.00,826.20,810.10,815.95,817.738117779512045341,156326,7482,127833729.00,45827,29.32,16.10,-1.05
21-May-2020,837.00,845.00,818.25,820.40,825.558460590067485724,184928,10883,152668875.00,70032,37.87,26.75,-16.60
20-May-2020,798.00,840.00,798.00,835.05,823.770346600373743267,236526,16716,194843105.00,58874,24.89,42.00,37.05
19-May-2020,828.00,833.60,791.55,796.45,814.174964450493779379,229961,16587,187228489.00,104101,45.27,42.05,-31.55
18-May-2020,871.90,871.90,810.35,813.45,826.883460184957852524,293256,19010,242488536.00,131070,44.69,61.55,-58.45
15-May-2020,881.60,885.00,854.35,864.20,868.392345320441777811,209336,11015,181785780.00,47172,22.53,30.65,-17.40
14-May-2020,861.20,879.70,842.00,871.80,859.307462474212136302,295197,19928,253664985.00,118555,40.16,37.70,10.60
13-May-2020,862.80,871.80,851.00,863.50,861.880832119986084088,310436,15944,267558838.00,101811,32.80,20.80,0.70
12-May-2020,818.80,820.00,804.25,814.80,810.190495449949443882,148350,8726,120191760.00,52801,35.59,15.75,-4.00
11-May-2020,822.00,827.00,816.60,821.50,821.962144080125889490,101041,5901,83051877.00,30821,30.50,10.40,-0.50
8-May-2020,832.00,834.95,810.00,816.05,820.006171439972430304,220532,12187,180837601.00,95362,43.24,24.95,-15.95
7-May-2020,835.00,836.00,820.25,822.70,826.982417759947226354,148559,7285,122855681.00,62614,42.15,15.75,-12.30
6-May-2020,839.00,848.00,818.10,837.65,833.690874609549308344,188244,9396,156937305.00,56782,30.16,29.90,-1.35
5-May-2020,861.00,870.00,835.10,837.15,849.122266354434856110,231879,15617,196893622.00,100102,43.17,34.90,-23.85
4-May-2020,884.00,884.00,845.10,850.75,854.656085514007034699,240522,16015,205563591.00,137544,57.19,38.90,-33.25
30-April-2020,887.05,916.20,884.25,897.35,902.732905169277113531,236358,13104,213368144.00,80154,33.91,31.95,10.30
29-April-2020,865.70,882.50,854.45,876.65,870.073591342683705738,192577,9761,167556162.00,62936,32.68,28.05,10.95
28-April-2020,865.00,867.50,852.75,857.00,859.196668284004528546,136026,6569,116873086.00,45900,33.74,14.75,-8.00
27-April-2020,861.00,874.70,852.70,855.55,863.034237718065727466,160846,7775,138815605.00,46270,28.77,22.00,-5.45
24-April-2020,842.00,868.90,835.30,850.60,853.884499836011807149,304900,15452,260349384.00,83785,27.48,33.60,8.60
23-April-2020,862.00,869.30,835.40,840.65,851.218812289636932140,259373,14360,220783177.00,129082,49.77,33.90,-21.35
22-April-2020,871.00,885.10,850.15,852.65,865.997137177883016297,252548,14959,218705845.00,109451,43.34,34.95,-18.35
21-April-2020,903.90,906.30,863.50,870.65,883.948112464609911913,260313,18207,230103185.00,135113,51.90,42.80,-33.25
20-April-2020,945.00,945.00,910.60,916.05,930.063033064291981623,183491,12176,170658196.00,79871,43.53,34.40,-28.95
17-April-2020,926.45,940.00,916.20,933.15,929.209993689044449716,223421,13608,207605026.00,53271,23.84,23.80,6.70
16-April-2020,878.75,919.55,871.70,912.00,908.067324556046801338,204695,12874,185876841.00,46306,22.62,47.85,33.25
15-April-2020,880.30,926.70,867.85,879.90,903.945614153526778368,474002,19515,428472029.00,129524,27.33,58.85,-0.40
13-April-2020,815.00,872.00,809.00,865.70,846.554182672310440165,408710,22812,345995160.00,97419,23.84,63.00,50.70
9-April-2020,831.00,834.90,805.45,812.35,817.360507571188733679,245404,16415,200583538.00,112607,45.89,29.45,-18.65
8-April-2020,805.00,832.00,798.25,807.65,813.434128266843404687,258009,12723,209873326.00,84130,32.61,33.75,2.65
7-April-2020,814.95,814.95,791.00,801.65,804.175914930368131274,203786,12064,163879793.00,52965,25.99,23.95,-13.30
3-April-2020,786.30,790.00,763.00,774.85,773.038592657917944532,227919,15913,176190183.00,75558,33.15,27.00,-11.45
1-April-2020,809.20,811.75,767.00,774.75,781.342890168295421236,180813,13650,141276952.00,87897,48.61,44.75,-34.45
31-March-2020,819.00,821.55,791.10,806.85,806.266948842250179410,341395,17486,275255505.00,180461,52.86,30.45,-12.15
30-March-2020,819.00,819.00,791.25,799.70,802.932278945531986572,166226,9659,133468221.00,70122,42.18,27.75,-19.30
27-March-2020,863.00,890.00,812.30,836.90,845.136218352100836345,421118,19080,355902074.00,124052,29.46,77.70,-26.10
26-March-2020,782.20,843.20,754.50,839.90,824.033572880329006601,7658205,19493,6310618028.00,7350233,95.98,88.70,57.70
25-March-2020,707.90,773.00,661.05,766.55,705.310042442023707308,491494,26137,346655654.00,111060,22.60,111.95,58.65
24-March-2020,723.00,754.85,671.60,708.30,709.097152763596390227,460306,26711,326401674.00,200697,43.60,83.25,-14.70
23-March-2020,835.00,835.00,706.05,723.70,748.797152816181522631,477384,29009,357463780.00,293781,61.54,128.95,-111.30
20-March-2020,852.00,878.30,832.00,864.75,852.947857884519886235,465171,31720,396766608.00,190547,40.96,46.30,12.75
19-March-2020,876.70,884.60,837.50,843.25,859.934215368028781362,426665,28516,366903832.00,190582,44.67,47.10,-33.45
18-March-2020,969.00,975.00,900.00,904.05,930.765010061303757779,299166,17951,278453245.00,139845,46.74,75.00,-64.95
17-March-2020,967.25,1005.00,940.25,955.20,974.076822995795742706,362014,18605,352629447.00,142114,39.26,64.75,-12.05
16-March-2020,1017.00,1042.00,962.85,968.70,992.789475805259948039,372209,31599,369525178.00,210288,56.50,79.15,-48.30
13-March-2020,964.40,1060.45,890.10,1052.85,993.919732540979704533,504152,27173,501086621.00,147795,29.32,170.35,88.45
12-March-2020,1077.00,1077.00,1005.00,1013.15,1033.025290551998374056,644549,39162,665835418.00,382962,59.42,72.00,-63.85
11-March-2020,1099.00,1120.45,1086.65,1116.85,1109.470442258841920145,153530,11081,170336997.00,66300,43.18,33.80,17.85
9-March-2020,1143.00,1143.00,1068.00,1102.00,1093.963819446203377714,355329,20369,388717070.00,149241,42.00,75.00,-41.00
6-March-2020,1155.00,1164.00,1131.00,1158.95,1147.417305486163973796,186542,11003,214041519.00,107972,57.88,33.00,3.95
5-March-2020,1181.10,1187.95,1166.85,1182.75,1179.470093393289519197,72275,4764,85246201.00,35587,49.24,21.10,1.65
4-March-2020,1189.90,1189.90,1158.15,1177.70,1176.560096189661697264,335587,8826,394838273.00,228210,68.00,31.75,-12.20
3-March-2020,1190.00,1190.00,1162.55,1181.80,1177.202484988627270607,158713,8335,186837338.00,77494,48.83,27.45,-8.20
2-March-2020,1201.15,1211.50,1150.55,1167.00,1176.723447119515719485,310729,13322,365642100.00,207770,66.87,60.95,-34.15
28-February-2020,1192.30,1195.95,1162.35,1183.00,1178.849501456678488469,281119,12892,331396993.00,155609,55.35,33.60,-9.30
27-February-2020,1216.95,1216.95,1200.00,1209.85,1207.049165734800776881,135928,8357,164071779.00,54259,39.92,16.95,-7.10
26-February-2020,1237.00,1239.00,1207.15,1211.45,1221.136387653184707947,293355,11483,358226465.00,202977,69.19,31.85,-25.55
25-February-2020,1263.80,1264.90,1241.00,1242.40,1249.329999052611633929,253328,10046,316490270.00,194974,76.96,23.90,-21.40
24-February-2020,1275.65,1275.65,1253.00,1259.55,1262.915968185425086272,270945,10652,342180767.00,204240,75.38,22.65,-16.10
20-February-2020,1282.00,1288.80,1275.60,1280.85,1284.818272297253911517,186884,10446,240111978.00,126384,67.63,13.20,-1.15
19-February-2020,1290.10,1298.60,1276.65,1281.40,1282.608628274345130973,80016,4032,102629212.00,37523,46.89,21.95,-8.70
18-February-2020,1281.00,1289.65,1266.65,1286.25,1276.266518629013119978,117988,5171,150584134.00,70082,59.40,23.00,5.25
17-February-2020,1296.00,1296.95,1277.70,1280.50,1285.481104635087758103,90419,4744,116231916.00,55794,61.71,19.25,-15.50
14-February-2020,1296.00,1305.00,1291.00,1294.90,1297.621591815664742597,85236,4284,110604074.00,50527,59.28,14.00,-1.10
13-February-2020,1296.85,1299.50,1285.30,1292.15,1290.075083283505594943,58535,5158,75514545.00,26474,45.23,14.20,-4.70
12-February-2020,1289.90,1299.75,1280.50,1296.85,1291.475382206974652766,150115,5995,193869827.00,54822,36.52,19.25,6.95
11-February-2020,1289.00,1299.00,1283.75,1286.95,1291.588928596454347978,71355,3957,92161328.00,27564,38.63,15.25,-2.05
10-February-2020,1300.00,1301.30,1273.45,1285.35,1285.067730200674288037,142669,8248,183339328.00,69402,48.65,27.85,-14.65
7-February-2020,1315.75,1315.80,1296.00,1298.85,1302.261256315887967063,80155,4636,104382751.00,43328,54.06,19.80,-16.90
6-February-2020,1320.00,1325.00,1309.50,1317.35,1317.362715817618113035,70314,4211,92629042.00,30375,43.20,15.50,-2.65
5-February-2020,1299.85,1325.00,1296.00,1311.85,1313.676741335290489315,128077,5553,168251776.00,48566,37.92,29.00,12.00
4-February-2020,1296.40,1307.00,1287.65,1291.60,1297.119043917740169204,289473,11893,375480941.00,188515,65.12,19.35,-4.80
3-February-2020,1299.55,1303.95,1272.50,1286.70,1286.837395691109561974,242429,15459,311966703.00,143273,59.10,31.45,-12.85
1-February-2020,1374.00,1383.85,1280.10,1287.25,1326.239251836231968169,620292,31955,822655598.00,228780,36.88,103.75,-86.75
31-January-2020,1375.10,1376.25,1360.00,1369.10,1370.113503249273484260,155881,6590,213574663.00,39934,25.62,16.25,-6.00
30-January-2020,1365.55,1376.35,1353.10,1371.25,1363.955903541366497307,79122,4135,107918919.00,25018,31.62,23.25,5.70
29-January-2020,1353.00,1374.90,1352.00,1365.45,1366.564398497971208922,152061,9952,207801149.00,44414,29.21,22.90,12.45
28-January-2020,1350.10,1355.40,1338.35,1347.00,1345.490248005982053838,64192,4973,86369710.00,23276,36.26,17.05,-3.10
27-January-2020,1350.00,1364.85,1343.00,1348.50,1355.518164411209149481,77294,4140,104773421.00,26157,33.84,21.85,-1.50
24-January-2020,1333.00,1368.00,1331.55,1359.80,1354.635849304135827438,182938,9604,247814373.00,83262,45.51,36.45,26.80
23-January-2020,1302.00,1339.50,1302.00,1332.80,1330.539483136721113127,740544,24285,985323031.00,548136,74.02,37.50,30.80
22-January-2020,1310.00,1310.65,1292.40,1294.25,1299.815002763402502135,99515,4929,129351090.00,44012,44.23,18.25,-15.75
21-January-2020,1307.45,1313.60,1301.00,1302.60,1306.439270652054622705,63783,3701,83328616.00,32432,50.85,12.60,-4.85
20-January-2020,1311.05,1319.45,1306.00,1309.60,1312.567405657099172979,71945,5767,94432662.00,32174,44.72,13.45,-1.45
17-January-2020,1325.00,1325.75,1302.00,1304.55,1311.554764173581598514,143771,9412,188563540.00,90778,63.14,23.75,-20.45
16-January-2020,1325.05,1332.40,1317.15,1319.05,1323.704619700633063250,54181,4249,71719640.00,28479,52.56,15.25,-6.00
15-January-2020,1326.70,1336.00,1319.80,1323.65,1327.027177747169684550,59534,3054,79003236.00,18569,31.19,16.20,-3.05
14-January-2020,1332.50,1332.50,1315.80,1326.00,1323.621564837381292545,59495,3633,78748865.00,22396,37.64,16.70,-6.50
13-January-2020,1332.00,1339.90,1329.65,1334.35,1335.247821635763849391,43955,3666,58690818.00,20338,46.27,10.25,2.35
10-January-2020,1317.00,1335.20,1317.00,1324.05,1327.557888807377908195,76336,5350,101340459.00,30710,40.23,18.20,7.05
9-January-2020,1311.80,1319.90,1307.00,1315.90,1311.717328955025355391,144348,6284,189343773.00,85172,59.00,12.90,4.10
8-January-2020,1308.00,1308.00,1283.60,1291.35,1293.622482450145989936,160970,9382,208234411.00,65387,40.62,24.40,-16.65
7-January-2020,1326.00,1339.00,1313.75,1320.25,1325.379739100069839369,80184,4468,106274249.00,23468,29.27,25.25,-5.75
6-January-2020,1335.00,1335.00,1314.00,1316.30,1320.731012890187331804,95499,4805,126128491.00,39002,40.84,21.00,-18.70
3-January-2020,1344.80,1344.80,1330.35,1335.15,1336.212029652531356497,56926,3061,76065206.00,22475,39.48,14.45,-9.65
2-January-2020,1310.30,1347.70,1310.30,1345.00,1334.162140543399219937,151270,6449,201818707.00,61674,40.77,37.40,34.70
1-January-2020,1310.00,1318.45,1303.35,1310.10,1309.952725674470312964,154714,6663,202668026.00,73934,47.79,15.10,0.10
31-December-2019,1302.00,1310.20,1291.30,1298.95,1300.120391618482628693,99791,4841,129740314.00,47596,47.70,18.90,-3.05
