Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,1643.50,1644.00,1620.00,1627.30,1632.121521964442318424,50172,3430,81886801.00,20009,39.88,24.00,-16.20
29-December-2022,1618.15,1643.40,1611.10,1640.90,1625.304169374834500854,83082,4399,135033521.00,55970,67.37,32.30,22.75
28-December-2022,1629.00,1632.90,1623.00,1629.45,1628.639898206568386815,132818,5775,216312694.00,106376,80.09,9.90,0.45
27-December-2022,1632.30,1635.70,1615.00,1630.65,1621.548154110797459421,90688,6001,147054959.00,53186,58.65,20.70,-1.65
26-December-2022,1591.00,1638.95,1591.00,1628.15,1620.280423379542899962,160140,13259,259471707.00,105375,65.80,47.95,37.15
23-December-2022,1583.00,1604.00,1583.00,1597.65,1595.376098574491961379,90003,6243,143588635.00,53994,59.99,21.00,14.65
22-December-2022,1620.00,1627.20,1609.00,1610.75,1616.448514661726186673,78265,4565,126511343.00,53464,68.31,18.20,-9.25
21-December-2022,1642.00,1644.75,1607.15,1617.35,1625.893059656028867332,64017,4130,104084796.00,31187,48.72,37.60,-24.65
20-December-2022,1621.00,1637.10,1621.00,1631.45,1630.540062394636386536,103214,4285,168294562.00,73818,71.52,16.10,10.45
19-December-2022,1640.65,1646.50,1626.70,1644.50,1638.318339796064914548,69630,3167,114076106.00,22635,32.51,19.80,3.85
16-December-2022,1620.00,1644.90,1609.00,1638.70,1629.738136702810581311,78667,4356,128206610.00,30844,39.21,35.90,18.70
15-December-2022,1652.10,1669.85,1626.70,1630.70,1655.279849769681742043,76416,4846,126489865.00,41514,54.33,43.15,-21.40
14-December-2022,1651.55,1664.80,1649.40,1661.60,1659.528155270058310085,250557,20310,415806396.00,192017,76.64,15.40,10.05
13-December-2022,1652.00,1657.35,1645.40,1648.35,1649.747743977109155621,2513494,5848,4146631056.00,2426456,96.54,11.95,-3.65
12-December-2022,1621.05,1653.40,1621.05,1643.55,1643.417338672187339230,322666,21123,530274899.00,229704,71.19,32.35,22.50
9-December-2022,1624.00,1634.00,1619.30,1631.30,1627.599587906613421331,250914,13669,408387523.00,194400,77.48,14.70,7.30
8-December-2022,1611.05,1626.00,1604.35,1619.50,1611.050186182540762249,6497924,8033,10468481670.00,6140176,94.49,21.65,8.45
7-December-2022,1610.00,1618.75,1604.25,1609.95,1610.252437033689627505,108431,6780,174601282.00,54650,50.40,14.50,-0.05
6-December-2022,1600.25,1613.95,1600.25,1611.95,1607.173481819201016480,133795,7487,215031776.00,97268,72.70,13.70,11.70
5-December-2022,1607.00,1614.55,1596.40,1612.30,1604.169822723609991941,158848,10245,254819168.00,88300,55.59,18.15,5.30
2-December-2022,1610.35,1616.75,1605.05,1607.10,1611.103647218774014305,169170,13240,272550404.00,139938,82.72,11.70,-3.25
1-December-2022,1618.00,1636.95,1615.00,1619.15,1627.001727220796955224,295851,19610,481350088.00,167370,56.57,21.95,1.15
30-November-2022,1597.00,1612.50,1595.90,1608.75,1603.369693358390246138,109085,4651,174903583.00,73721,67.58,16.60,11.75
29-November-2022,1594.00,1611.95,1592.65,1597.65,1605.312401260257648662,110771,4023,177822060.00,66169,59.73,19.30,3.65
28-November-2022,1606.40,1607.20,1594.00,1599.75,1601.350776802482000200,509589,5241,816030741.00,82655,16.22,13.20,-6.65
25-November-2022,1627.35,1631.40,1614.05,1617.20,1620.389693672343727834,239678,9828,388371761.00,147451,61.52,17.35,-10.15
24-November-2022,1604.00,1632.15,1599.05,1625.90,1618.745644875834318775,252002,7910,407927140.00,185285,73.53,33.10,21.90
23-November-2022,1608.90,1608.90,1593.95,1599.00,1597.698831188045568871,168975,4254,269971160.00,127958,75.73,14.95,-9.90
22-November-2022,1596.00,1604.65,1591.25,1593.90,1597.213619202747578822,158394,5118,252989054.00,99908,63.08,13.40,-2.10
21-November-2022,1606.55,1610.00,1590.40,1597.00,1597.119470358110141438,169473,5762,270668628.00,107489,63.43,19.60,-9.55
18-November-2022,1620.20,1622.70,1605.35,1613.55,1615.016714234196276264,2487341,6729,4017097289.00,97366,3.91,17.35,-6.65
17-November-2022,1616.00,1631.45,1613.65,1617.30,1623.913999209436827761,240335,6247,390283371.00,165579,68.90,17.80,1.30
16-November-2022,1608.00,1642.00,1608.00,1632.25,1629.359344024381394673,344525,20414,561355028.00,245506,71.26,34.00,24.25
15-November-2022,1620.55,1623.05,1605.35,1619.35,1612.946080926941492618,155177,6724,250292134.00,73065,47.08,17.70,-1.20
14-November-2022,1610.25,1628.00,1598.80,1614.40,1613.278616015316323445,188557,7792,304194976.00,75005,39.78,29.20,4.15
11-November-2022,1538.00,1636.35,1537.55,1610.95,1598.206961907894182035,1897296,91304,3032271676.00,1235063,65.10,98.80,72.95
10-November-2022,1492.05,1527.75,1492.05,1525.25,1511.655211089382261589,104316,3875,157689825.00,47799,45.82,35.70,33.20
9-November-2022,1508.55,1516.25,1503.60,1508.25,1511.994516670161459425,190760,9533,288428074.00,100770,52.83,12.65,-0.30
7-November-2022,1512.00,1512.00,1492.45,1508.80,1501.671104195481788842,121464,4778,182398979.00,62287,51.28,19.55,-3.20
4-November-2022,1501.00,1516.00,1490.00,1497.10,1496.923366160505283708,311429,10930,466185347.00,147635,47.41,26.00,-3.90
3-November-2022,1499.00,1520.40,1498.00,1508.60,1510.074037956642412422,253289,7876,382485143.00,155804,61.51,22.40,9.60
2-November-2022,1513.10,1527.95,1512.00,1513.95,1520.791353788900616312,347713,12762,528798924.00,191673,55.12,15.95,0.85
1-November-2022,1500.00,1529.00,1499.95,1514.05,1524.478501984484672255,1026211,8819,1564436608.00,833500,81.22,29.05,14.05
31-October-2022,1465.00,1498.00,1465.00,1496.40,1485.557638639971324696,156232,6995,232091641.00,82089,52.54,33.00,31.40
28-October-2022,1450.00,1466.90,1448.75,1458.50,1460.987444695869499138,118436,4413,173033509.00,75053,63.37,18.15,8.50
27-October-2022,1461.00,1465.75,1451.60,1454.25,1457.482114026590293279,142458,3965,207629987.00,94854,66.58,14.15,-6.75
25-October-2022,1453.00,1467.50,1445.70,1450.25,1459.972128126758543071,90629,4141,132315814.00,56236,62.05,21.80,-2.75
24-October-2022,1454.70,1462.80,1454.30,1460.80,1460.417306999639812702,33316,2915,48655263.00,18991,57.00,8.50,6.10
21-October-2022,1448.60,1457.10,1433.80,1438.40,1445.574999682527588352,157494,9701,227669389.00,66687,42.34,23.30,-10.20
20-October-2022,1441.25,1454.45,1441.25,1449.20,1447.380610997316565839,125958,8908,182309167.00,52414,41.61,13.20,7.95
19-October-2022,1462.00,1477.00,1454.00,1458.85,1463.111690522399114228,398297,15658,582752997.00,179385,45.04,23.00,-3.15
18-October-2022,1452.00,1465.00,1439.80,1444.15,1451.765186468344520878,120074,5008,174319253.00,55880,46.54,25.20,-7.85
17-October-2022,1434.65,1457.30,1427.05,1446.35,1443.676582059167496859,277044,14249,399961935.00,89576,32.33,30.25,11.70
14-October-2022,1412.00,1447.00,1412.00,1441.10,1434.102418685372098208,372227,19446,533811641.00,255735,68.70,35.00,29.10
13-October-2022,1402.50,1406.85,1384.00,1393.70,1393.826194386709495501,68801,4435,95896636.00,30596,44.47,22.85,-8.80
12-October-2022,1407.00,1414.10,1397.35,1409.40,1405.949167747249610582,122619,8854,172396081.00,57283,46.72,16.75,2.40
11-October-2022,1403.80,1416.95,1399.20,1400.70,1406.728076061042984196,140098,9888,197079790.00,77181,55.09,17.75,-3.10
10-October-2022,1410.00,1425.90,1398.35,1415.50,1407.368168050326805400,81547,5782,114766652.00,31329,38.42,27.55,5.50
7-October-2022,1425.25,1433.00,1420.45,1430.70,1426.063312157862598690,93347,4504,133118732.00,64964,69.59,12.55,5.45
6-October-2022,1455.00,1462.10,1434.80,1436.85,1449.436584597257045775,72987,4061,105790028.00,31403,43.03,27.30,-18.15
4-October-2022,1425.25,1456.00,1425.25,1452.60,1447.573942196531791907,86500,4873,125215146.00,45408,52.49,30.75,27.35
3-October-2022,1410.00,1418.00,1400.55,1412.85,1409.017245069561229169,130820,11695,184327636.00,67217,51.38,17.45,2.85
30-September-2022,1375.55,1431.30,1365.05,1422.40,1409.180533775078225658,135825,6177,191401946.00,50496,37.18,66.25,46.85
29-September-2022,1394.25,1402.20,1378.80,1381.85,1389.176114081996434937,70125,5208,97415975.00,27273,38.89,23.40,-12.40
28-September-2022,1405.00,1410.65,1385.15,1388.25,1395.994435664932926236,195531,18349,272960188.00,87153,44.57,25.50,-16.75
27-September-2022,1426.50,1439.80,1406.90,1414.35,1424.054427364698949022,81448,5275,115986385.00,25425,31.22,32.90,-12.15
26-September-2022,1423.35,1436.15,1417.40,1425.20,1425.074886245422913165,362403,34870,516451414.00,257629,71.09,18.75,1.85
23-September-2022,1475.00,1475.00,1437.00,1446.50,1451.561987343049488964,138738,9817,201386807.00,61743,44.50,38.00,-28.50
22-September-2022,1516.00,1516.00,1482.00,1485.70,1495.519183768067085247,189848,13545,283921326.00,84425,44.47,34.00,-30.30
21-September-2022,1510.00,1521.40,1505.00,1518.75,1515.660853017685364618,57279,3689,86815538.00,27841,48.61,16.40,8.75
20-September-2022,1508.50,1524.00,1499.95,1518.05,1518.095056174216052502,282959,17951,429558659.00,204790,72.37,24.05,9.55
19-September-2022,1486.35,1514.00,1480.00,1502.90,1503.600756937062424397,218248,11617,328157858.00,117340,53.76,34.00,16.55
16-September-2022,1499.00,1514.50,1483.00,1493.20,1502.134022733305982575,248622,18226,373463565.00,126709,50.96,31.50,-5.80
15-September-2022,1522.25,1540.55,1511.75,1520.90,1525.944334274714679394,292478,20276,446305147.00,154538,52.84,28.80,-1.35
14-September-2022,1490.00,1538.95,1490.00,1528.90,1507.224551349721007389,623314,9690,939474164.00,122694,19.68,48.95,38.90
13-September-2022,1498.30,1515.55,1498.10,1511.15,1509.233760004541068286,352340,7212,531763423.00,257060,72.96,17.45,12.85
12-September-2022,1498.00,1503.85,1489.90,1492.20,1498.266217659572589970,113287,4714,169734085.00,51289,45.27,13.95,-5.80
9-September-2022,1497.50,1509.00,1495.00,1498.15,1505.277556236157766623,337283,9952,507704530.00,252643,74.91,14.00,0.65
8-September-2022,1486.50,1500.00,1482.50,1497.05,1492.981816238745357877,187145,5112,279404082.00,121606,64.98,17.50,10.55
7-September-2022,1470.00,1490.25,1470.00,1482.20,1485.776972671796232422,376900,13647,559989341.00,318726,84.57,20.25,12.20
6-September-2022,1490.00,1506.50,1486.75,1489.50,1498.579707373384051571,575204,17678,861989042.00,430967,74.92,19.75,-0.50
5-September-2022,1485.10,1498.90,1483.20,1495.05,1493.759374655760437343,462977,17331,691576234.00,356723,77.05,15.70,9.95
2-September-2022,1474.00,1490.65,1466.00,1486.15,1478.611696501384750785,123849,7098,183124580.00,77216,62.35,24.65,12.15
1-September-2022,1468.00,1489.20,1459.00,1472.10,1468.574632980277013420,1301020,23422,1910644969.00,1145629,88.06,30.20,4.10
30-August-2022,1443.00,1489.85,1443.00,1486.20,1471.146863497507555578,306727,15857,451240464.00,190060,61.96,46.85,43.20
29-August-2022,1435.80,1446.10,1428.35,1440.00,1438.376911722752136540,80621,6065,115963385.00,36335,45.07,17.75,4.20
26-August-2022,1468.25,1481.45,1462.00,1463.40,1473.239005116911717080,138951,4552,204708033.00,102099,73.48,19.45,-4.85
25-August-2022,1477.00,1486.60,1459.00,1463.85,1481.948095576058670451,147945,5354,219246811.00,94119,63.62,27.60,-13.15
24-August-2022,1465.85,1475.90,1458.60,1471.30,1468.530050209385348053,278434,12016,408888696.00,195622,70.26,17.30,5.45
23-August-2022,1450.25,1475.50,1450.25,1465.85,1459.613211061368515872,295298,7648,431020862.00,209780,71.04,25.25,15.60
22-August-2022,1482.60,1487.90,1467.65,1470.15,1475.273448755710063972,406738,23579,600049772.00,223175,54.87,20.25,-12.45
19-August-2022,1512.00,1512.00,1490.00,1493.45,1496.989339725292921009,190239,7534,284785755.00,142323,74.81,22.00,-18.55
